"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 13:48:24 BST 2025","Sat Aug 30 13:48:25 BST 2025","221","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByCategory","Get products by category","Test description: Get product by categories"
"passed","Sat Aug 30 13:48:20 BST 2025","Sat Aug 30 13:48:21 BST 2025","1466","Surefire suite","Surefire test","com.learn.restassured.cart.CartTest","com.learn.restassured.cart.CartTest","addmoreThanOneItemToExistingCart","addmoreThanOneItemToExistingCart","Test description: Verify that more than one product is added to an empty cart"
"passed","Sat Aug 30 13:48:22 BST 2025","Sat Aug 30 13:48:22 BST 2025","400","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsAndVerifyCategoryValue","Get All Products","Test description: Verify that all products are retrieved"
"passed","Sat Aug 30 13:48:18 BST 2025","Sat Aug 30 13:48:20 BST 2025","1701","Surefire suite","Surefire test","com.learn.restassured.cart.CartTest","com.learn.restassured.cart.CartTest","addOneProductToNewCart","Add a product to an empty cart","Test description: Verify that a product is added to an empty cart"
"failed","Sat Aug 30 13:48:27 BST 2025","Sat Aug 30 13:48:27 BST 2025","414","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByID","Get product by ID","Test description: Get all product by ID"
"passed","Sat Aug 30 13:48:25 BST 2025","Sat Aug 30 13:48:25 BST 2025","411","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByCategory","Get products by category","Test description: Get product by categories"
"passed","Sat Aug 30 13:48:26 BST 2025","Sat Aug 30 13:48:27 BST 2025","396","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByID","Get product by ID","Test description: Get all product by ID"
"passed","Sat Aug 30 13:48:27 BST 2025","Sat Aug 30 13:48:27 BST 2025","391","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByInvalidID","Get product by invalid ID","Test description: Get all product by invalid ID"
"passed","Sat Aug 30 13:48:22 BST 2025","Sat Aug 30 13:48:22 BST 2025","398","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsAndVerifyCategoryUsingJsonPath","Get all products category","Test description: Get all product categories"
"failed","Sat Aug 30 13:48:26 BST 2025","Sat Aug 30 13:48:26 BST 2025","232","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByID","Get product by ID","Test description: Get all product by ID"
"passed","Sat Aug 30 13:48:12 BST 2025","Sat Aug 30 13:48:18 BST 2025","5565","Surefire suite","Surefire test","com.learn.restassured.cart.CartTest","com.learn.restassured.cart.CartTest","createACart","Create an empty cart","Test Description: Verify that the API create an empty cart"
"passed","Sat Aug 30 13:48:25 BST 2025","Sat Aug 30 13:48:25 BST 2025","393","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByCategory","Get products by category","Test description: Get product by categories"
"passed","Sat Aug 30 13:48:24 BST 2025","Sat Aug 30 13:48:24 BST 2025","409","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByCategory","Get products by category","Test description: Get product by categories"
"failed","Sat Aug 30 13:48:21 BST 2025","Sat Aug 30 13:48:22 BST 2025","467","Surefire suite","Surefire test","com.learn.restassured.order.OrderTest","com.learn.restassured.order.OrderTest","createANewOrder","Create an order for a cart","Test description: Verify that a product order is created for a cart"
"passed","Sat Aug 30 13:48:26 BST 2025","Sat Aug 30 13:48:26 BST 2025","380","Surefire suite","Surefire test","com.learn.restassured.products.ProductTest","com.learn.restassured.products.ProductTest","getProductsByID","Get product by ID","Test description: Get all product by ID"
